Front,Back,Example
ウイグル人,Uyghur people,ウイグル人は中国西部の新疆ウイグル自治区に暮らすトルク系民族です。
新疆,Xinjiang,ウイグルの歴史は2000年以上前に遡り、遊牧帝国建設の時代もありました。
ウイグル・カガン国,Uyghur Khaganate,ウイグル人はシルクロード沿いのタリム盆地のオアシスに住んでいました。
シルクロード,Silk Road,仏教、マンダネイズム、そして10世紀にはイスラムの影響を受けました。
オアシス,Oasis,ウイグル人は芸術、言語、伝統において中央アジアとの強い繋がりを持っています。
仏教,Buddhism,ウイグル人は独自の文化を守っていますが、現代では政治的、人権的な課題に直面しています。
マニケスム,Manichaeism,ウイグル人は中国西部の新疆ウイグル自治区に暮らすトルク系民族です。
イスラム,Islam,ウイグルの歴史は2000年以上前に遡り、遊牧帝国建設の時代もありました。
中央アジア,Central Asia,ウイグル人はシルクロード沿いのタリム盆地のオアシスに住んでいました。
伝統,Tradition,仏教、マンダネイズム、そして10世紀にはイスラムの影響を受けました。
